Number,Longitude,Latitude
211,-69.35520472,-37.38136141
212,-69.35037107,-37.50703618
213,-69.47282341,-37.57954086
214,-69.06464895,-37.52744491
215,-69.00181156,-37.573096
216,-68.98086577,-37.63271095
217,-69.11996733,-37.61713587
218,-69.13876484,-37.66869475
219,-69.11567076,-37.80779632
220,-69.15917356,-37.79436952
221,-69.23919724,-37.78631345
222,-69.05444459,-37.64345239
223,-69.00288571,-37.67513961
224,-69.06679724,-37.59350472
225,-69.09257668,-37.66278697
226,-69.10224397,-37.75247793
227,-68.78913118,-37.52798198
228,-68.68547635,-37.4877016
229,-68.57054302,-37.56772528
230,-68.69890314,-37.59941251
